alarm_description,Severity,Alarm ID,Alarm Source,Location Info,Other Information,Last Occurred (ST),Acknowledged On (ST),Fiber/Cable Name,Cleared By,Acknowledged By,Clearance Status,Acknowledgement Status,Alarm Serial Number
2,3,13417,47,479,117,2025-05-10 21:00:00,2025-05-11 02:00:00,108,1,2,0,0,26126165
2,1,63604,13,301,185,2025-05-01 02:00:00,2025-05-01 11:00:00,63,3,2,0,0,27801482
0,1,12587,52,878,188,2025-05-09 18:00:00,2025-05-10 01:00:00,12,4,1,0,0,27918362
2,1,114,16,378,225,2025-05-17 19:00:00,2025-05-17 22:00:00,21,1,1,0,0,25500493
0,3,12308,2,161,165,2025-05-02 00:00:00,2025-05-02 06:00:00,0,1,2,0,0,26150425
2,0,13056,62,838,54,2025-05-14 18:00:00,2025-05-14 20:00:00,63,4,3,0,0,27213416
1,0,14152,20,995,204,2025-05-08 15:00:00,2025-05-08 21:00:00,63,4,1,0,0,27191634
1,3,13987,15,379,115,2025-05-03 12:00:00,2025-05-03 17:00:00,0,4,2,0,0,26857613
0,0,236,11,799,225,2025-05-06 02:00:00,2025-05-06 05:00:00,21,4,3,0,0,27780304
1,3,12350,20,27,202,2025-05-03 06:00:00,2025-05-03 13:00:00,12,3,3,0,0,26549193
1,0,299,2,383,123,2025-05-07 18:00:00,2025-05-07 22:00:00,15,3,2,0,0,26565855
2,2,13417,45,873,199,2025-05-08 18:00:00,2025-05-09 00:00:00,109,3,2,0,0,25942012
0,2,13417,48,102,65,2025-05-02 14:00:00,2025-05-02 23:00:00,109,3,1,0,0,27694936
2,3,327,18,183,227,2025-05-08 16:00:00,2025-05-08 22:00:00,21,1,2,0,0,27789866
2,0,2,3,481,60,2025-05-04 10:00:00,2025-05-04 14:00:00,63,4,1,0,0,27264623
2,1,187,0,665,197,2025-05-09 02:00:00,2025-05-09 04:00:00,108,1,3,0,0,27796588
2,0,13933,10,975,203,2025-05-02 09:00:00,2025-05-02 18:00:00,15,1,1,0,0,26774397
2,2,12580,55,1048,166,2025-05-05 16:00:00,2025-05-05 20:00:00,15,3,2,0,0,27707319
2,2,13552,17,171,103,2025-05-18 16:00:00,2025-05-18 20:00:00,21,1,1,0,0,27609649
2,0,12301,55,316,257,2025-05-17 21:00:00,2025-05-17 23:00:00,12,3,3,0,0,25531737
0,0,12350,64,23,162,2025-05-10 13:00:00,2025-05-10 18:00:00,21,4,3,0,0,27424651
1,1,12306,16,1036,125,2025-05-12 18:00:00,2025-05-13 00:00:00,108,3,2,0,0,26395082
2,1,12306,16,142,206,2025-05-17 20:00:00,2025-05-18 02:00:00,13,4,1,0,0,25366936
2,0,12306,3,461,193,2025-05-18 16:00:00,2025-05-18 19:00:00,109,3,2,0,0,26993693
2,0,13933,7,398,162,2025-05-12 22:00:00,2025-05-13 07:00:00,21,1,2,0,0,27882228
2,0,12350,6,600,196,2025-05-07 10:00:00,2025-05-07 17:00:00,15,1,3,0,0,27706409
2,0,114,36,772,142,2025-05-07 20:00:00,2025-05-07 23:00:00,12,3,1,0,0,26197523
2,3,2,3,479,143,2025-05-08 13:00:00,2025-05-08 17:00:00,109,4,2,0,0,27928893
1,0,199,62,767,117,2025-05-10 22:00:00,2025-05-11 05:00:00,107,4,3,0,0,26354420
1,1,13142,65,1036,267,2025-05-06 16:00:00,2025-05-07 00:00:00,0,3,2,0,0,27680989
2,2,12926,54,990,188,2025-05-15 02:00:00,2025-05-15 08:00:00,15,1,1,0,0,26079310
1,3,119,46,1044,215,2025-05-18 17:00:00,2025-05-18 21:00:00,107,4,2,0,0,27840285
0,0,13552,43,516,233,2025-05-18 11:00:00,2025-05-18 13:00:00,12,3,1,0,0,26132147
2,2,13933,26,384,60,2025-05-12 01:00:00,2025-05-12 09:00:00,15,4,3,0,0,27918362
0,3,32,55,916,145,2025-05-08 18:00:00,2025-05-08 19:00:00,21,1,3,0,0,26779442
0,2,2,25,918,232,2025-05-02 15:00:00,2025-05-03 00:00:00,15,4,2,0,0,27968483
2,0,12301,34,398,244,2025-05-13 21:00:00,2025-05-14 05:00:00,12,3,3,0,0,25433521
1,0,186,53,284,186,2025-05-07 22:00:00,2025-05-08 01:00:00,15,4,2,0,0,26840479
0,1,12544,4,182,244,2025-05-17 06:00:00,2025-05-17 10:00:00,108,4,2,0,0,25594349
2,0,13987,25,585,202,2025-05-11 19:00:00,2025-05-11 23:00:00,63,1,1,0,0,27698968
0,0,13552,25,851,204,2025-05-06 22:00:00,2025-05-07 00:00:00,107,1,2,0,0,25750098
0,3,32,50,858,192,2025-05-09 11:00:00,2025-05-09 16:00:00,13,1,1,0,0,27706409
0,1,12956,35,878,169,2025-05-08 07:00:00,2025-05-08 10:00:00,63,1,2,0,0,25356894
0,3,12580,53,238,223,2025-05-11 21:00:00,2025-05-11 22:00:00,12,3,1,0,0,26857914
1,2,114,3,600,162,2025-05-11 11:00:00,2025-05-11 13:00:00,109,4,3,0,0,27739043
0,0,13933,6,917,186,2025-05-14 16:00:00,2025-05-14 23:00:00,108,4,2,0,0,26315982
0,2,12350,61,477,244,2025-05-18 10:00:00,2025-05-18 11:00:00,107,4,1,0,0,25722331
0,3,4,65,943,232,2025-05-09 07:00:00,2025-05-09 09:00:00,12,4,2,0,0,26577096
1,0,186,4,256,198,2025-05-09 06:00:00,2025-05-09 13:00:00,107,3,1,0,0,26155868
0,0,13933,22,1056,115,2025-05-09 03:00:00,2025-05-09 04:00:00,15,1,1,0,0,27939304
0,3,13142,37,897,166,2025-05-14 01:00:00,2025-05-14 08:00:00,21,4,2,0,0,27833420
1,3,12545,24,858,54,2025-05-04 04:00:00,2025-05-04 12:00:00,63,4,2,0,0,25772530
1,3,13417,66,23,97,2025-05-01 18:00:00,2025-05-01 20:00:00,15,1,3,0,0,27759475
1,3,12956,19,419,103,2025-05-03 13:00:00,2025-05-03 17:00:00,0,1,3,0,0,27937363
0,3,25,10,890,186,2025-05-14 14:00:00,2025-05-14 21:00:00,109,4,3,0,0,27840285
1,0,12580,49,79,202,2025-05-17 09:00:00,2025-05-17 10:00:00,0,1,2,0,0,25627152
1,3,13933,13,699,207,2025-05-12 16:00:00,2025-05-12 22:00:00,0,4,3,0,0,26970809
0,0,114,34,890,219,2025-05-18 19:00:00,2025-05-19 00:00:00,108,4,1,0,0,26581728
1,0,12587,16,1037,134,2025-05-11 09:00:00,2025-05-11 15:00:00,13,4,2,0,0,27841327
0,3,235,20,373,230,2025-05-10 10:00:00,2025-05-10 18:00:00,63,4,1,0,0,27855446
2,3,1,47,988,145,2025-05-06 06:00:00,2025-05-06 07:00:00,15,4,1,0,0,27898621
1,1,12587,50,379,192,2025-05-03 09:00:00,2025-05-03 12:00:00,0,4,1,0,0,25777141
2,0,1,5,821,62,2025-05-18 00:00:00,2025-05-18 09:00:00,0,1,2,0,0,25332127
0,3,327,31,34,198,2025-05-16 15:00:00,2025-05-16 23:00:00,109,3,2,0,0,26909446
1,3,32,5,159,197,2025-05-09 11:00:00,2025-05-09 15:00:00,15,3,3,0,0,27717114
0,3,187,43,689,82,2025-05-11 02:00:00,2025-05-11 11:00:00,63,4,3,0,0,26688239
2,1,114,11,11,258,2025-05-16 06:00:00,2025-05-16 13:00:00,63,1,3,0,0,26032824
0,1,25,55,900,167,2025-05-18 15:00:00,2025-05-18 17:00:00,15,4,3,0,0,25588220
1,2,25,24,665,219,2025-05-14 19:00:00,2025-05-14 20:00:00,108,1,1,0,0,26247103
1,0,4,7,1038,267,2025-05-14 13:00:00,2025-05-14 14:00:00,15,4,2,0,0,26782679
2,2,12545,49,803,216,2025-05-11 11:00:00,2025-05-11 14:00:00,21,4,3,0,0,25545972
0,3,114,56,1044,167,2025-05-17 09:00:00,2025-05-17 11:00:00,12,3,1,0,0,26721470
1,1,13987,5,618,166,2025-05-14 09:00:00,2025-05-14 13:00:00,21,1,2,0,0,25761194
2,1,13056,14,904,134,2025-05-16 15:00:00,2025-05-16 23:00:00,108,1,2,0,0,25668499
1,2,1,24,973,65,2025-05-18 00:00:00,2025-05-18 05:00:00,108,3,2,0,0,25556841
1,1,12301,34,698,194,2025-05-09 06:00:00,2025-05-09 11:00:00,15,3,1,0,0,25683821
0,3,13417,41,1010,134,2025-05-15 06:00:00,2025-05-15 12:00:00,15,3,3,0,0,26981280
1,1,14102,4,295,232,2025-05-10 23:00:00,2025-05-11 04:00:00,13,3,2,0,0,25762332
0,2,12308,18,0,110,2025-05-06 18:00:00,2025-05-06 23:00:00,109,1,1,0,0,25588355
1,3,12580,37,887,66,2025-05-06 01:00:00,2025-05-06 08:00:00,21,1,2,0,0,26704585
2,2,13417,65,941,169,2025-05-18 11:00:00,2025-05-18 17:00:00,63,3,1,0,0,27385024
1,1,119,29,565,143,2025-05-03 00:00:00,2025-05-03 02:00:00,13,4,3,0,0,26510273
0,2,199,1,1016,165,2025-05-13 15:00:00,2025-05-13 16:00:00,107,4,3,0,0,26971253
0,2,187,10,161,267,2025-05-05 18:00:00,2025-05-05 19:00:00,63,4,2,0,0,27796588
2,0,12956,65,164,257,2025-05-15 06:00:00,2025-05-15 10:00:00,13,4,3,0,0,27389852
1,1,13933,35,861,201,2025-05-11 10:00:00,2025-05-11 12:00:00,0,1,3,0,0,26196112
1,1,199,28,685,205,2025-05-01 06:00:00,2025-05-01 12:00:00,13,1,1,0,0,26855733
2,2,13933,0,690,104,2025-05-10 02:00:00,2025-05-10 11:00:00,13,1,1,0,0,26584136
1,0,12350,54,585,97,2025-05-04 04:00:00,2025-05-04 12:00:00,13,4,2,0,0,27191634
1,1,12305,53,333,199,2025-05-08 10:00:00,2025-05-08 14:00:00,15,3,1,0,0,27895369
0,3,13203,12,268,125,2025-05-07 00:00:00,2025-05-07 02:00:00,21,4,3,0,0,27629681
1,2,299,59,986,232,2025-05-18 07:00:00,2025-05-18 08:00:00,13,1,1,0,0,26229958
1,1,12306,15,103,202,2025-05-07 09:00:00,2025-05-07 16:00:00,15,4,3,0,0,26641271
2,3,13933,66,182,197,2025-05-06 00:00:00,2025-05-06 03:00:00,109,3,2,0,0,27702518
2,1,12350,5,611,183,2025-05-06 03:00:00,2025-05-06 09:00:00,21,3,3,0,0,26262553
0,3,14152,24,698,197,2025-05-07 05:00:00,2025-05-07 10:00:00,108,4,1,0,0,27553799
1,2,25,54,672,55,2025-05-17 12:00:00,2025-05-17 17:00:00,63,1,1,0,0,27059629
1,1,12926,20,690,162,2025-05-16 20:00:00,2025-05-16 22:00:00,107,1,1,0,0,27963307
1,1,236,11,256,258,2025-05-12 03:00:00,2025-05-12 12:00:00,108,1,1,0,0,27578101
0,0,25,40,170,129,2025-05-14 14:00:00,2025-05-14 18:00:00,12,4,2,0,0,27208588
0,2,25,54,1046,1,2025-05-01 00:00:00,2025-05-01 01:00:00,109,1,3,0,0,25635168
2,3,13142,16,929,209,2025-05-07 16:00:00,2025-05-07 18:00:00,12,4,1,0,0,27509777
0,1,13933,56,517,258,2025-05-11 03:00:00,2025-05-11 12:00:00,0,1,3,0,0,27796588
1,1,12587,56,666,188,2025-05-16 14:00:00,2025-05-16 21:00:00,0,3,2,0,0,25596775
1,3,12580,11,1001,257,2025-05-17 13:00:00,2025-05-17 15:00:00,13,3,3,0,0,26465742
0,2,32,47,62,265,2025-05-11 10:00:00,2025-05-11 17:00:00,109,1,1,0,0,25683821
1,0,12307,42,1006,203,2025-05-16 06:00:00,2025-05-16 10:00:00,108,4,3,0,0,25668011
1,0,13552,7,49,165,2025-05-03 15:00:00,2025-05-03 17:00:00,109,1,1,0,0,25969696
0,1,12350,13,837,225,2025-05-13 10:00:00,2025-05-13 14:00:00,108,4,1,0,0,26479620
0,3,235,32,101,196,2025-05-11 07:00:00,2025-05-11 12:00:00,107,3,2,0,0,25669371
1,1,13933,61,935,185,2025-05-13 08:00:00,2025-05-13 12:00:00,12,4,2,0,0,27433449
1,3,114,32,572,111,2025-05-05 18:00:00,2025-05-05 21:00:00,108,1,3,0,0,26818907
1,0,14102,52,922,225,2025-05-13 06:00:00,2025-05-13 12:00:00,107,3,3,0,0,26175444
2,2,235,46,340,207,2025-05-01 00:00:00,2025-05-01 01:00:00,109,4,1,0,0,26274730
2,3,13552,40,649,258,2025-05-02 16:00:00,2025-05-03 00:00:00,107,4,1,0,0,27764027
2,0,13933,49,890,189,2025-05-08 04:00:00,2025-05-08 09:00:00,63,3,1,0,0,26825928
0,1,119,1,622,221,2025-05-04 15:00:00,2025-05-04 23:00:00,107,1,1,0,0,27530724
2,3,235,44,577,194,2025-05-05 01:00:00,2025-05-05 05:00:00,107,3,2,0,0,27763883
0,2,119,1,511,125,2025-05-04 15:00:00,2025-05-04 19:00:00,13,1,1,0,0,26697729
0,1,12350,2,1016,193,2025-05-11 10:00:00,2025-05-11 15:00:00,0,1,2,0,0,26204044
2,1,186,43,886,115,2025-05-14 22:00:00,2025-05-15 03:00:00,12,4,3,0,0,25740788
2,0,12306,32,917,65,2025-05-06 20:00:00,2025-05-07 02:00:00,63,1,3,0,0,27805591
2,3,2,0,0,238,2025-05-03 22:00:00,2025-05-04 03:00:00,63,1,2,0,0,27879027
1,1,13056,8,772,233,2025-05-06 16:00:00,2025-05-06 21:00:00,0,3,1,0,0,27781973
2,2,13417,40,887,123,2025-05-05 02:00:00,2025-05-05 10:00:00,21,3,3,0,0,26270627
1,3,236,2,536,167,2025-05-07 06:00:00,2025-05-07 12:00:00,108,1,2,0,0,26126128
0,2,235,50,461,223,2025-05-08 06:00:00,2025-05-08 08:00:00,107,4,3,0,0,27189111
1,1,13203,47,293,101,2025-05-07 22:00:00,2025-05-08 02:00:00,109,3,1,0,0,26697729
2,2,2,50,900,267,2025-05-15 06:00:00,2025-05-15 10:00:00,107,4,2,0,0,25476411
0,0,299,42,901,125,2025-05-18 01:00:00,2025-05-18 06:00:00,109,3,3,0,0,27841036
0,2,13987,31,1044,62,2025-05-11 16:00:00,2025-05-11 22:00:00,107,3,1,0,0,25323100
0,3,63604,58,831,61,2025-05-17 13:00:00,2025-05-17 18:00:00,63,1,2,0,0,26619417
1,2,327,37,969,166,2025-05-10 07:00:00,2025-05-10 13:00:00,21,3,2,0,0,27861967
2,2,32,25,1022,230,2025-05-16 07:00:00,2025-05-16 15:00:00,0,3,2,0,0,25750098
0,0,2,12,1036,186,2025-05-14 17:00:00,2025-05-14 21:00:00,15,4,2,0,0,27609649
0,2,114,44,268,54,2025-05-03 16:00:00,2025-05-03 19:00:00,12,3,3,0,0,27044310
0,2,12306,62,781,115,2025-05-03 20:00:00,2025-05-04 05:00:00,12,3,2,0,0,26463890
1,1,12301,35,536,54,2025-05-03 18:00:00,2025-05-03 21:00:00,108,4,2,0,0,26972602
1,1,13203,6,840,199,2025-05-19 00:00:00,2025-05-19 08:00:00,0,1,2,0,0,26877870
2,3,12545,60,1052,128,2025-05-03 01:00:00,2025-05-03 06:00:00,109,1,2,0,0,27346909
1,1,25,65,916,257,2025-05-14 01:00:00,2025-05-14 10:00:00,12,3,2,0,0,25683821
0,1,25,15,702,61,2025-05-13 20:00:00,2025-05-13 23:00:00,109,3,1,0,0,26774397
2,1,12926,19,968,123,2025-05-04 18:00:00,2025-05-05 02:00:00,0,4,3,0,0,26079310
0,1,12301,40,916,258,2025-05-05 18:00:00,2025-05-06 01:00:00,108,1,1,0,0,26354420
0,0,299,45,773,145,2025-05-16 13:00:00,2025-05-16 20:00:00,15,1,3,0,0,27129831
1,1,63604,39,11,129,2025-05-03 08:00:00,2025-05-03 17:00:00,0,1,2,0,0,27902478
2,0,13417,16,261,142,2025-05-15 05:00:00,2025-05-15 13:00:00,13,4,3,0,0,27755582
1,0,12350,44,1,143,2025-05-01 17:00:00,2025-05-01 20:00:00,108,4,2,0,0,27638177
1,1,13203,34,703,62,2025-05-12 07:00:00,2025-05-12 13:00:00,109,4,2,0,0,27692207
2,2,114,38,928,204,2025-05-06 09:00:00,2025-05-06 15:00:00,21,3,1,0,0,25683821
0,0,14102,12,873,258,2025-05-12 04:00:00,2025-05-12 09:00:00,63,1,1,0,0,27774065
0,2,119,62,384,215,2025-05-18 20:00:00,2025-05-18 23:00:00,63,3,1,0,0,26916866
2,2,119,33,556,145,2025-05-04 07:00:00,2025-05-04 16:00:00,21,3,3,0,0,26521991
0,1,236,29,845,230,2025-05-13 10:00:00,2025-05-13 17:00:00,15,4,3,0,0,25875998
2,3,4,14,921,163,2025-05-13 21:00:00,2025-05-14 01:00:00,63,1,1,0,0,27264158
2,1,187,20,649,142,2025-05-09 09:00:00,2025-05-09 15:00:00,15,3,1,0,0,27492678
1,3,25,47,408,203,2025-05-10 08:00:00,2025-05-10 13:00:00,108,1,2,0,0,25593991
2,3,13987,7,689,117,2025-05-07 14:00:00,2025-05-07 15:00:00,21,3,3,0,0,26723779
1,1,63604,41,63,66,2025-05-09 11:00:00,2025-05-09 13:00:00,15,4,2,0,0,27545082
0,1,14152,24,856,65,2025-05-06 16:00:00,2025-05-06 17:00:00,13,3,3,0,0,27346909
0,3,119,1,101,227,2025-05-04 00:00:00,2025-05-04 09:00:00,15,4,1,0,0,27923957
0,1,12307,65,1016,176,2025-05-02 23:00:00,2025-05-03 08:00:00,107,1,3,0,0,26247103
0,3,186,19,301,208,2025-05-01 17:00:00,2025-05-01 22:00:00,108,3,3,0,0,27835253
1,2,12587,6,840,221,2025-05-12 02:00:00,2025-05-12 10:00:00,13,3,2,0,0,27913685
0,1,12350,24,869,232,2025-05-15 03:00:00,2025-05-15 07:00:00,21,4,1,0,0,25592419
2,2,4,45,576,232,2025-05-01 18:00:00,2025-05-01 19:00:00,12,4,1,0,0,26982100
2,0,186,8,665,60,2025-05-05 03:00:00,2025-05-05 07:00:00,109,1,1,0,0,27686752
2,2,12587,15,471,176,2025-05-05 19:00:00,2025-05-06 02:00:00,63,4,2,0,0,27652677
1,2,12307,30,361,188,2025-05-15 09:00:00,2025-05-15 11:00:00,107,1,2,0,0,27750714
0,3,12956,37,553,65,2025-05-04 01:00:00,2025-05-04 03:00:00,107,3,2,0,0,27871778
0,2,187,3,965,229,2025-05-12 15:00:00,2025-05-12 21:00:00,12,1,3,0,0,26981929
0,1,13142,24,765,183,2025-05-12 04:00:00,2025-05-12 13:00:00,63,1,3,0,0,27923957
1,3,12305,14,941,134,2025-05-06 04:00:00,2025-05-06 07:00:00,15,1,2,0,0,25306349
2,0,13933,14,858,61,2025-05-05 19:00:00,2025-05-06 02:00:00,21,3,2,0,0,27684062
2,1,114,13,968,232,2025-05-08 05:00:00,2025-05-08 14:00:00,109,3,1,0,0,26766784
0,0,12350,44,703,203,2025-05-08 12:00:00,2025-05-08 21:00:00,13,4,3,0,0,26340062
2,2,12305,58,293,97,2025-05-10 09:00:00,2025-05-10 13:00:00,13,1,3,0,0,27803145
2,1,186,35,885,129,2025-05-07 12:00:00,2025-05-07 14:00:00,109,3,1,0,0,25442158
1,1,13987,37,765,60,2025-05-07 19:00:00,2025-05-07 20:00:00,0,1,1,0,0,26840506
1,0,12587,7,698,167,2025-05-03 22:00:00,2025-05-04 04:00:00,21,1,1,0,0,27276781
1,1,299,19,467,125,2025-05-10 05:00:00,2025-05-10 10:00:00,63,1,2,0,0,27889389
1,1,13552,55,571,258,2025-05-06 05:00:00,2025-05-06 11:00:00,21,3,2,0,0,25384835
0,1,13203,40,21,186,2025-05-07 00:00:00,2025-05-07 07:00:00,12,1,2,0,0,26704585
1,2,12301,51,863,62,2025-05-08 07:00:00,2025-05-08 16:00:00,107,1,2,0,0,26328801
2,0,25,53,361,197,2025-05-07 07:00:00,2025-05-07 13:00:00,0,4,2,0,0,27731291
0,1,14152,33,600,169,2025-05-08 13:00:00,2025-05-08 19:00:00,63,1,3,0,0,25843752
2,3,32,49,1075,186,2025-05-16 14:00:00,2025-05-16 17:00:00,21,4,3,0,0,27631237
2,3,12956,34,904,129,2025-05-15 10:00:00,2025-05-15 18:00:00,108,1,3,0,0,26531370
2,3,12926,47,375,167,2025-05-04 12:00:00,2025-05-04 21:00:00,107,4,1,0,0,25588220
1,3,2,30,69,216,2025-05-16 03:00:00,2025-05-16 04:00:00,21,3,3,0,0,26036094
1,2,32,24,161,145,2025-05-16 22:00:00,2025-05-17 04:00:00,21,3,1,0,0,25476411
0,1,12301,44,1075,203,2025-05-06 00:00:00,2025-05-06 07:00:00,63,1,3,0,0,26478052
0,0,13417,54,536,185,2025-05-06 08:00:00,2025-05-06 16:00:00,107,4,2,0,0,26743804
1,1,14152,32,665,62,2025-05-01 05:00:00,2025-05-01 13:00:00,13,3,3,0,0,27129831
2,2,12545,15,779,193,2025-05-14 21:00:00,2025-05-15 04:00:00,13,1,2,0,0,25500493
0,3,12580,38,986,128,2025-05-08 14:00:00,2025-05-08 22:00:00,108,1,2,0,0,25881522
1,2,327,45,571,265,2025-05-02 13:00:00,2025-05-02 22:00:00,15,4,3,0,0,27737174
1,1,1,10,1022,215,2025-05-18 08:00:00,2025-05-18 15:00:00,109,4,3,0,0,27606656
1,0,14152,0,136,192,2025-05-05 19:00:00,2025-05-05 22:00:00,63,1,2,0,0,27797160
2,2,2,27,873,143,2025-05-05 05:00:00,2025-05-05 14:00:00,63,4,1,0,0,26890259
1,0,13142,34,576,167,2025-05-01 07:00:00,2025-05-01 08:00:00,13,4,1,0,0,27634057
1,2,199,5,941,203,2025-05-10 01:00:00,2025-05-10 09:00:00,63,3,3,0,0,27420921
1,0,13056,43,842,111,2025-05-09 14:00:00,2025-05-09 20:00:00,107,4,2,0,0,27658485
1,0,186,8,517,167,2025-05-04 05:00:00,2025-05-04 08:00:00,15,1,1,0,0,27059654
0,3,1,24,94,103,2025-05-16 07:00:00,2025-05-16 16:00:00,108,4,3,0,0,27877313
0,0,14152,15,462,185,2025-05-17 19:00:00,2025-05-18 01:00:00,0,1,3,0,0,27922452
1,3,12308,57,308,166,2025-05-03 06:00:00,2025-05-03 13:00:00,13,1,2,0,0,26498407
2,1,1,7,1031,257,2025-05-13 15:00:00,2025-05-13 17:00:00,0,4,1,0,0,27059629
0,1,12926,41,967,54,2025-05-10 11:00:00,2025-05-10 12:00:00,0,4,3,0,0,27170767
1,3,32,63,917,198,2025-05-04 15:00:00,2025-05-04 16:00:00,12,4,1,0,0,26965455
0,3,12306,18,479,221,2025-05-01 09:00:00,2025-05-01 12:00:00,15,3,3,0,0,26053003
0,2,13987,65,63,225,2025-05-13 19:00:00,2025-05-13 22:00:00,109,3,3,0,0,25737224
