alarm_description,Severity,Alarm ID,Alarm Source,Location Info,Other Information,Last Occurred (ST),Acknowledged On (ST),Fiber/Cable Name,Cleared By,Acknowledged By,Clearance Status,Acknowledgement Status,Alarm Serial Number
1,3,12306,60,222,80,2025-03-28 16:57:24,2025-03-28 17:30:27,91,3,0,0,1,30680921
0,3,12350,66,403,149,2025-04-12 10:19:21,2025-04-12 10:21:20,53,0,3,0,1,30070191
2,3,63604,51,994,184,2025-03-16 00:49:13,2025-03-16 01:14:37,80,3,0,1,0,30962837
2,2,12862,46,194,52,2025-02-18 01:58:22,2025-02-18 02:23:22,4,3,2,1,0,30671832
2,2,12301,33,1047,32,2025-02-23 19:33:38,2025-02-23 19:57:35,103,3,1,1,1,30078246
2,0,13669,14,883,104,2025-02-14 10:10:47,2025-02-14 11:06:36,34,2,0,1,0,30938307
2,0,13504,40,540,225,2025-03-11 15:24:18,2025-03-11 15:28:09,53,1,1,1,0,30575531
0,1,335,7,970,126,2025-03-29 15:46:38,2025-03-29 16:31:16,8,2,0,1,0,30647025
0,2,299,6,556,268,2025-02-28 03:52:00,2025-02-28 04:05:55,34,3,0,0,0,30888402
0,0,12306,6,372,253,2025-01-25 07:16:30,2025-01-25 07:39:46,75,4,1,1,1,30137310
2,1,2,8,1034,60,2025-04-13 19:21:18,2025-04-13 19:59:00,43,2,0,1,0,30267832
0,3,63604,7,762,191,2025-04-10 22:56:14,2025-04-10 23:41:18,43,3,1,1,0,30674491
2,1,13933,30,100,91,2025-02-13 03:08:39,2025-02-13 04:08:17,4,1,1,1,0,30963542
0,3,12871,4,24,141,2025-02-14 08:30:10,2025-02-14 09:01:29,90,3,1,0,0,30331962
2,3,32,49,1012,239,2025-04-18 17:00:19,2025-04-18 17:06:17,36,3,2,1,0,30755668
0,2,13552,52,286,158,2025-04-01 07:03:58,2025-04-01 07:51:29,36,0,0,1,1,30120492
1,2,625,63,342,189,2025-02-17 21:43:13,2025-02-17 22:19:18,0,4,1,0,0,30158242
2,1,187,60,103,112,2025-01-29 12:56:02,2025-01-29 13:22:23,86,3,3,1,0,30685040
1,3,12336,15,11,76,2025-03-10 17:37:24,2025-03-10 17:49:57,25,2,3,1,0,30915135
0,2,236,59,774,127,2025-02-27 20:22:13,2025-02-27 20:53:30,71,0,3,0,1,30431191
0,1,12587,56,800,253,2025-04-04 02:43:39,2025-04-04 03:03:22,17,3,3,1,0,30227069
2,0,50,5,644,141,2025-02-01 00:09:24,2025-02-01 00:39:02,109,4,2,0,0,30122132
0,0,199,11,973,212,2025-04-16 10:35:20,2025-04-16 11:23:02,96,3,2,1,0,30759032
1,3,63629,34,686,112,2025-03-20 19:12:35,2025-03-20 19:58:43,54,1,1,0,1,30741216
1,1,13203,33,994,25,2025-03-14 16:28:49,2025-03-14 16:58:52,76,1,3,0,0,30414847
1,0,324,59,1009,227,2025-02-12 11:49:36,2025-02-12 12:37:08,8,0,1,0,1,30453194
2,2,13539,37,568,94,2025-03-09 09:11:37,2025-03-09 09:40:59,8,4,3,1,1,30041169
1,3,187,40,447,219,2025-04-16 19:21:00,2025-04-16 19:45:48,32,0,1,0,0,30730700
1,2,8,9,427,200,2025-04-09 11:42:17,2025-04-09 12:36:50,103,2,1,0,0,30240684
1,3,13412,2,427,223,2025-03-29 08:01:53,2025-03-29 08:48:53,50,4,3,0,1,30033199
0,1,125,12,478,136,2025-03-21 17:46:42,2025-03-21 18:26:04,27,1,0,0,1,30920542
0,1,12301,27,487,232,2025-02-08 12:12:10,2025-02-08 13:12:08,61,4,3,0,0,30046244
0,0,335,6,430,228,2025-02-10 10:19:30,2025-02-10 10:21:43,46,4,2,1,1,30514364
2,2,12788,12,794,84,2025-03-04 23:11:35,2025-03-05 00:07:56,51,0,0,0,1,30898503
1,3,12862,11,86,143,2025-03-17 23:23:56,2025-03-17 23:26:00,28,4,1,0,1,30837723
0,2,12926,52,543,218,2025-01-30 19:55:28,2025-01-30 20:10:24,102,1,1,1,1,30365027
0,2,25,21,852,108,2025-04-18 20:10:37,2025-04-18 21:06:09,82,4,1,0,1,30618512
1,1,12541,64,381,180,2025-04-08 00:32:35,2025-04-08 00:47:03,2,3,3,0,1,30999685
2,2,187,51,329,54,2025-02-28 01:58:18,2025-02-28 02:57:53,25,1,1,1,0,30537643
2,0,235,31,296,266,2025-02-25 06:23:52,2025-02-25 07:13:44,56,3,3,1,1,30911584
2,1,25,20,120,83,2025-03-18 19:08:51,2025-03-18 19:10:57,88,0,2,0,1,30935466
0,2,12305,23,972,122,2025-02-02 15:11:48,2025-02-02 15:18:27,27,3,3,0,0,30480418
1,3,12544,5,898,91,2025-02-08 19:42:25,2025-02-08 19:55:15,10,0,0,0,1,30998917
0,1,12956,50,925,180,2025-02-04 19:38:17,2025-02-04 20:33:42,103,4,1,0,1,30317503
2,0,12926,59,32,89,2025-01-26 21:35:15,2025-01-26 21:43:14,47,3,3,0,0,30322375
0,1,56,52,452,57,2025-02-08 11:26:04,2025-02-08 12:08:10,79,2,0,0,1,30959428
0,1,30,1,1,29,2025-04-01 05:59:40,2025-04-01 06:05:58,4,1,3,0,1,30913582
2,2,63629,27,489,187,2025-03-11 19:03:45,2025-03-11 20:03:04,86,0,3,0,0,30994208
2,0,13987,30,643,104,2025-02-28 04:57:03,2025-02-28 05:56:10,110,2,1,0,1,30174365
0,1,236,19,734,7,2025-03-04 08:50:56,2025-03-04 09:08:36,1,3,0,0,0,30055813
2,0,63629,24,737,4,2025-04-05 12:57:40,2025-04-05 13:15:56,16,2,1,0,1,30863152
0,1,12544,35,667,185,2025-03-08 17:37:55,2025-03-08 17:39:28,30,0,1,1,1,30222059
2,2,14451,43,636,125,2025-02-06 07:17:28,2025-02-06 07:52:12,74,1,3,1,1,30339271
0,0,2,5,223,173,2025-02-04 02:31:04,2025-02-04 02:32:21,108,4,1,1,0,30039088
0,3,12544,39,654,142,2025-02-03 03:50:41,2025-02-03 04:26:01,72,3,0,1,0,30544018
0,0,8,34,910,264,2025-03-16 18:08:55,2025-03-16 18:44:20,23,4,2,1,1,30894101
0,3,12336,60,1013,126,2025-02-06 15:54:07,2025-02-06 16:22:43,75,1,3,1,1,30606591
2,1,299,54,481,109,2025-03-21 05:01:27,2025-03-21 05:20:13,3,3,2,0,1,30577758
1,0,103300,35,903,169,2025-03-22 03:27:57,2025-03-22 04:26:14,16,4,1,1,1,30899286
1,1,342,10,992,225,2025-02-10 20:24:37,2025-02-10 20:45:59,34,1,1,1,0,30532948
2,3,56,18,452,162,2025-03-31 21:24:25,2025-03-31 22:05:44,109,1,3,1,1,30817291
0,1,299,20,884,159,2025-04-12 10:05:03,2025-04-12 10:58:03,111,4,3,0,1,30943421
1,0,12862,43,585,120,2025-02-01 18:01:30,2025-02-01 18:02:36,68,4,2,1,0,30449738
1,3,25,52,178,197,2025-04-13 16:41:19,2025-04-13 17:10:09,3,0,1,0,1,30164806
1,0,13933,19,810,241,2025-03-09 12:12:15,2025-03-09 12:38:10,105,3,3,0,1,30438618
2,3,12871,65,742,210,2025-02-17 22:15:03,2025-02-17 22:19:34,89,2,3,1,1,30179991
2,0,125,40,893,259,2025-02-05 21:34:19,2025-02-05 22:15:44,14,1,1,0,1,30502087
1,2,298,45,786,70,2025-02-28 10:29:24,2025-02-28 11:17:33,43,3,2,1,0,30220483
0,2,13987,46,464,45,2025-03-22 23:41:52,2025-03-23 00:20:46,56,2,0,1,0,30670157
2,1,12308,31,871,30,2025-02-13 01:21:21,2025-02-13 01:47:53,20,4,2,1,0,30247036
1,0,12956,10,965,198,2025-02-28 14:30:38,2025-02-28 15:25:08,62,2,1,1,0,30945630
1,3,12862,40,141,70,2025-04-12 13:11:27,2025-04-12 13:44:49,89,3,3,0,1,30030683
0,1,13186,3,628,180,2025-02-15 13:34:09,2025-02-15 13:54:25,79,2,0,0,0,30541701
0,0,13417,12,753,99,2025-03-09 08:10:59,2025-03-09 08:54:57,68,2,0,0,1,30659432
0,2,199,30,335,253,2025-03-07 06:01:27,2025-03-07 06:54:35,23,0,2,1,1,30008572
1,2,12306,9,437,141,2025-03-30 10:16:30,2025-03-30 10:29:43,19,0,3,1,1,30723430
1,2,4,21,443,143,2025-03-17 20:53:51,2025-03-17 21:48:16,12,0,0,1,0,30158878
2,1,236,47,278,93,2025-02-22 00:04:50,2025-02-22 00:23:46,53,2,0,0,1,30542395
2,3,186,16,972,158,2025-04-08 02:37:53,2025-04-08 03:24:40,47,4,1,1,1,30944557
0,2,13504,1,615,72,2025-04-11 04:04:16,2025-04-11 04:18:15,9,1,1,0,1,30698757
0,2,13142,55,21,21,2025-04-06 08:57:55,2025-04-06 09:56:26,79,0,3,1,0,30122137
0,3,342,4,1023,26,2025-04-04 06:24:36,2025-04-04 06:42:06,10,2,2,0,1,30700348
0,0,12308,28,965,182,2025-02-13 12:38:12,2025-02-13 13:15:30,33,0,1,1,1,30294585
2,0,299,59,495,64,2025-01-27 18:16:18,2025-01-27 18:32:59,104,3,3,1,0,30110607
0,2,31,64,848,15,2025-03-14 05:12:01,2025-03-14 05:26:47,25,1,3,0,1,30621289
0,3,13203,35,342,197,2025-03-27 17:07:38,2025-03-27 17:29:28,55,0,0,0,1,30810061
2,3,13933,43,328,135,2025-04-10 23:24:55,2025-04-10 23:52:45,1,2,1,0,0,30084169
2,0,13987,51,710,214,2025-02-15 20:00:47,2025-02-15 20:13:31,17,0,2,1,0,30528342
0,2,13203,7,168,130,2025-04-19 01:33:23,2025-04-19 02:32:24,51,4,0,1,0,30274718
0,3,631,44,914,115,2025-02-27 14:51:58,2025-02-27 14:55:40,104,4,0,0,1,30366909
0,1,13552,64,764,154,2025-04-10 20:32:25,2025-04-10 21:21:50,62,3,3,0,0,30802374
1,0,236,29,900,20,2025-04-12 09:10:06,2025-04-12 09:27:42,47,0,0,1,1,30147399
0,0,1,16,468,157,2025-03-16 02:18:59,2025-03-16 02:23:46,38,3,3,1,0,30554832
1,2,12305,52,178,209,2025-02-24 04:50:14,2025-02-24 05:08:57,12,1,3,0,1,30723421
2,1,14102,14,30,127,2025-03-29 04:20:33,2025-03-29 04:44:41,14,3,3,1,0,30089137
1,3,12301,17,340,165,2025-02-15 16:29:08,2025-02-15 17:26:43,86,4,3,0,0,30517196
2,0,299,53,89,223,2025-03-06 07:38:20,2025-03-06 08:33:30,33,3,1,1,1,30411012
2,1,638,31,49,110,2025-02-07 17:37:26,2025-02-07 18:07:00,78,1,2,1,1,30540880
2,3,13417,12,727,184,2025-02-26 05:46:52,2025-02-26 05:51:43,93,3,0,1,1,30838527
2,3,13056,34,262,168,2025-04-04 20:17:40,2025-04-04 20:35:54,8,3,1,1,1,30313438
2,3,4,45,35,46,2025-04-04 07:43:47,2025-04-04 07:57:55,14,2,1,1,1,30950006
1,3,187,30,741,202,2025-03-26 22:09:53,2025-03-26 23:02:52,8,3,3,1,0,30560505
0,1,13142,50,229,62,2025-04-12 21:24:34,2025-04-12 22:02:11,6,1,2,0,0,30447409
2,2,63604,62,319,116,2025-02-06 12:30:13,2025-02-06 13:00:01,80,1,0,0,0,30082090
0,1,324,17,16,40,2025-02-20 09:04:46,2025-02-20 09:35:11,64,1,2,0,1,30722439
2,2,299,1,648,247,2025-02-09 07:13:50,2025-02-09 07:29:01,82,1,0,0,0,30692541
2,3,13669,7,146,215,2025-02-05 03:22:23,2025-02-05 03:34:45,45,4,2,0,0,30434780
0,3,50,50,496,179,2025-03-26 23:07:12,2025-03-27 00:04:11,98,3,1,0,0,30617993
0,3,333,49,100,220,2025-04-07 05:48:36,2025-04-07 06:03:01,63,1,3,1,1,30455820
1,3,193,9,436,88,2025-02-18 02:35:09,2025-02-18 03:24:21,50,1,0,1,0,30320321
0,3,12306,54,804,96,2025-03-30 20:55:59,2025-03-30 21:32:12,99,3,0,0,0,30462354
0,1,100,49,619,194,2025-02-23 02:07:04,2025-02-23 02:21:57,74,3,1,1,0,30864861
1,3,12306,53,138,257,2025-03-22 05:55:19,2025-03-22 06:34:08,106,2,1,0,1,30687631
1,2,119,47,98,13,2025-01-25 18:38:50,2025-01-25 19:29:13,65,4,3,1,1,30165377
2,2,12871,20,556,144,2025-03-04 20:04:34,2025-03-04 20:31:14,28,2,2,0,0,30027858
1,3,103300,51,55,155,2025-04-13 08:48:07,2025-04-13 09:21:35,70,0,1,0,0,30060929
2,3,13417,59,230,127,2025-02-24 02:46:42,2025-02-24 03:42:16,38,2,2,0,0,30735325
1,3,13056,11,552,167,2025-03-19 19:25:04,2025-03-19 19:45:48,67,2,1,1,0,30694580
2,2,4,53,798,88,2025-02-03 07:15:01,2025-02-03 07:58:57,63,1,1,0,0,30224575
2,0,63629,49,852,47,2025-01-26 04:21:13,2025-01-26 04:49:44,95,1,1,0,1,30282392
2,2,8,17,58,168,2025-01-30 10:29:49,2025-01-30 11:09:20,81,2,3,0,1,30500627
2,1,2,14,848,9,2025-01-31 03:34:35,2025-01-31 04:22:36,63,4,2,1,0,30536181
0,3,13669,17,527,105,2025-03-25 13:04:58,2025-03-25 13:40:14,52,3,2,0,1,30959838
1,2,12843,41,177,158,2025-04-09 20:11:19,2025-04-09 20:38:57,101,1,3,1,1,30160753
1,2,50,2,703,224,2025-02-23 12:28:09,2025-02-23 12:35:34,47,1,2,1,1,30615604
2,1,12871,6,376,154,2025-04-06 21:54:50,2025-04-06 22:26:24,75,0,3,0,0,30824328
0,3,12544,31,826,134,2025-04-12 21:53:29,2025-04-12 22:41:41,73,1,2,1,1,30336219
0,2,32,40,821,105,2025-04-07 00:15:21,2025-04-07 01:11:55,85,2,2,0,1,30585854
1,3,240,13,2,132,2025-03-06 12:12:54,2025-03-06 13:05:41,5,3,3,0,0,30433857
1,3,12306,39,443,58,2025-02-09 02:20:55,2025-02-09 03:15:50,8,1,0,0,0,30076366
1,2,12350,38,424,17,2025-04-13 22:32:02,2025-04-13 23:13:16,41,1,2,1,0,30832539
0,1,13987,21,433,180,2025-04-03 01:23:25,2025-04-03 02:09:41,58,2,1,1,0,30650486
0,3,240,7,266,21,2025-02-21 01:28:40,2025-02-21 02:07:49,29,4,2,1,0,30754044
1,0,13203,49,383,119,2025-03-29 10:13:56,2025-03-29 10:15:21,74,2,0,0,1,30348291
0,2,103300,29,1023,198,2025-03-29 23:27:37,2025-03-30 00:01:12,44,1,0,0,0,30342070
2,0,299,26,805,267,2025-04-13 08:27:07,2025-04-13 08:53:23,60,2,1,0,0,30650958
2,2,50,39,745,144,2025-02-13 09:45:43,2025-02-13 10:44:07,11,2,1,0,0,30235462
1,0,1,33,241,150,2025-04-06 18:55:32,2025-04-06 19:06:04,108,3,0,0,0,30079969
1,1,12301,59,118,151,2025-04-02 18:51:04,2025-04-02 18:58:29,17,2,2,1,0,30165492
0,3,12587,15,89,231,2025-03-02 01:36:54,2025-03-02 01:50:29,110,2,0,1,0,30318435
0,2,12788,34,214,112,2025-04-16 22:37:44,2025-04-16 23:00:58,5,0,3,0,0,30880417
1,3,13669,23,363,61,2025-04-01 10:15:49,2025-04-01 10:36:54,107,1,3,0,0,30318864
0,2,298,43,605,134,2025-03-03 07:20:45,2025-03-03 07:58:37,35,2,1,0,0,30524896
2,1,63604,32,993,252,2025-02-13 21:37:12,2025-02-13 21:55:48,23,1,2,0,0,30979127
0,3,13539,25,53,81,2025-03-20 02:11:42,2025-03-20 02:35:11,97,3,2,1,0,30406141
0,3,119,43,875,216,2025-02-01 08:18:12,2025-02-01 09:05:57,81,4,0,0,0,30906040
0,3,324,20,411,206,2025-02-03 14:46:19,2025-02-03 15:38:23,6,3,2,1,1,30010893
1,1,12301,35,426,113,2025-02-04 10:47:56,2025-02-04 11:16:03,0,4,1,1,1,30548471
2,0,186,27,818,206,2025-04-03 06:22:04,2025-04-03 06:33:36,36,3,3,0,0,30430076
1,0,103300,0,655,105,2025-04-13 04:13:34,2025-04-13 04:52:13,36,0,3,1,1,30066341
0,2,12843,16,748,133,2025-02-14 21:32:52,2025-02-14 21:52:24,32,2,2,0,1,30314863
2,2,12350,5,572,178,2025-03-04 21:57:58,2025-03-04 22:30:21,25,4,1,1,1,30984089
0,1,240,58,1066,53,2025-03-04 21:03:52,2025-03-04 21:33:58,64,0,3,0,0,30175147
1,3,13552,45,858,20,2025-02-20 03:41:13,2025-02-20 04:18:30,92,2,2,0,1,30380101
1,1,12336,21,619,266,2025-03-19 19:22:58,2025-03-19 19:35:12,25,1,0,0,0,30491232
0,3,13412,36,338,94,2025-02-23 09:05:29,2025-02-23 09:44:31,57,3,2,1,0,30387276
2,1,12306,18,581,53,2025-03-12 08:46:05,2025-03-12 09:38:36,29,0,0,0,0,30774523
2,0,25,44,704,71,2025-03-10 02:28:28,2025-03-10 03:25:04,66,2,2,1,0,30933293
0,2,12308,64,506,144,2025-03-11 21:04:52,2025-03-11 21:13:09,103,0,2,0,0,30416966
1,0,193,13,946,92,2025-01-30 19:59:36,2025-01-30 20:43:31,54,0,0,1,1,30769169
2,2,13142,13,947,136,2025-03-22 03:24:15,2025-03-22 04:19:59,32,0,0,0,1,30961253
1,1,13056,48,682,147,2025-03-20 21:21:20,2025-03-20 21:28:32,40,2,3,0,1,30796461
0,1,13142,33,642,249,2025-02-06 21:02:56,2025-02-06 21:07:52,47,3,2,0,1,30792945
0,1,12926,15,808,169,2025-04-06 01:15:55,2025-04-06 02:11:01,49,3,1,1,1,30026636
1,3,324,35,989,87,2025-02-06 11:47:50,2025-02-06 12:41:46,78,3,3,0,1,30648447
0,1,13504,7,595,111,2025-03-23 19:55:05,2025-03-23 20:24:43,29,0,0,1,0,30970322
2,2,13056,49,275,246,2025-03-03 02:50:15,2025-03-03 03:28:50,44,2,2,0,1,30145282
1,2,12956,49,396,100,2025-04-05 10:10:17,2025-04-05 10:52:36,23,3,3,1,1,30771152
0,2,12956,6,323,118,2025-02-25 04:51:22,2025-02-25 05:41:01,105,2,2,0,1,30826019
0,2,31,28,154,76,2025-04-05 05:51:10,2025-04-05 06:12:14,3,3,3,1,0,30879050
0,3,13056,15,260,215,2025-02-02 09:49:13,2025-02-02 10:26:18,1,3,1,0,1,30693732
2,1,13412,34,411,229,2025-02-14 18:24:03,2025-02-14 18:39:20,109,3,2,1,1,30801234
1,1,100,2,748,239,2025-04-07 22:53:01,2025-04-07 23:34:41,95,1,0,1,1,30373795
2,1,342,44,325,62,2025-03-19 00:12:24,2025-03-19 00:29:45,8,4,0,0,0,30945276
2,2,12587,53,844,94,2025-04-08 03:43:24,2025-04-08 03:44:30,37,3,0,0,1,30967232
2,0,342,8,138,218,2025-03-10 10:42:52,2025-03-10 11:30:46,76,3,2,1,0,30022146
2,1,14152,46,6,138,2025-03-01 19:41:52,2025-03-01 20:16:45,103,0,0,1,0,30905647
1,1,100,40,364,164,2025-03-04 14:32:24,2025-03-04 14:44:36,60,3,0,0,0,30361672
2,3,13504,65,1015,214,2025-02-01 02:59:30,2025-02-01 03:41:42,0,4,0,0,1,30357692
2,1,12587,63,858,9,2025-02-04 08:26:31,2025-02-04 08:48:32,101,1,2,0,0,30662072
1,3,119,56,135,122,2025-03-28 06:52:37,2025-03-28 07:10:24,55,4,2,1,1,30856488
2,2,100,56,91,164,2025-02-12 18:29:41,2025-02-12 18:56:58,18,1,0,1,1,30907206
1,3,12336,34,217,31,2025-02-27 14:02:11,2025-02-27 14:32:29,25,0,1,1,1,30943626
2,3,12843,42,481,234,2025-03-17 17:22:23,2025-03-17 18:10:31,41,1,3,0,0,30885984
2,0,13539,20,648,200,2025-02-28 00:56:25,2025-02-28 01:08:51,56,0,3,0,1,30208441
0,1,193,23,488,165,2025-03-16 00:33:08,2025-03-16 00:49:22,93,0,3,0,1,30880744
0,0,100,55,274,110,2025-03-09 09:34:04,2025-03-09 09:52:26,44,1,0,0,1,30386527
2,2,13417,13,152,214,2025-03-16 03:26:41,2025-03-16 04:26:31,79,0,2,1,0,30809789
0,2,50,55,131,82,2025-04-07 22:55:54,2025-04-07 23:27:42,81,1,3,0,0,30026927
2,2,13142,8,426,184,2025-03-16 17:42:44,2025-03-16 18:00:27,85,2,3,0,1,30327291
0,1,186,65,103,205,2025-02-26 21:32:17,2025-02-26 21:40:40,61,2,2,0,0,30508281
0,0,12587,58,354,251,2025-02-22 13:44:18,2025-02-22 14:29:03,68,3,3,0,1,30707071
1,3,240,24,247,268,2025-03-17 14:41:29,2025-03-17 15:04:54,5,1,2,0,0,30492422
2,3,100,52,437,187,2025-03-26 04:52:43,2025-03-26 05:20:07,31,4,3,1,1,30572701
1,1,13539,38,650,215,2025-02-01 22:35:42,2025-02-01 23:25:16,77,3,2,0,1,30278870
1,2,12788,63,785,205,2025-04-17 23:25:36,2025-04-18 00:00:50,102,4,0,1,0,30650163
0,0,2,56,959,254,2025-02-23 13:50:52,2025-02-23 13:54:08,61,0,3,1,0,30223258
2,0,186,48,363,177,2025-03-06 20:42:45,2025-03-06 21:25:46,51,3,1,1,1,30466024
1,1,13933,17,978,27,2025-02-10 21:27:33,2025-02-10 21:29:21,18,1,2,0,0,30822782
1,1,1,6,70,196,2025-02-18 13:52:36,2025-02-18 14:47:55,6,2,1,0,0,30415044
1,1,12305,11,564,188,2025-03-04 19:02:41,2025-03-04 19:21:02,48,0,1,1,0,30567412
1,3,240,36,722,16,2025-03-03 10:04:35,2025-03-03 10:11:55,100,2,2,0,0,30548607
1,2,8,53,399,31,2025-02-27 00:44:30,2025-02-27 01:01:12,20,2,3,1,0,30779508
1,1,12871,34,847,68,2025-04-08 18:59:58,2025-04-08 19:01:25,105,4,0,0,1,30027735
0,1,2,39,687,135,2025-02-22 16:47:19,2025-02-22 17:03:55,38,3,3,0,0,30815477
2,0,13987,49,48,96,2025-02-04 14:43:14,2025-02-04 15:16:22,93,2,3,1,0,30819594
0,1,13417,1,947,23,2025-02-15 10:45:09,2025-02-15 11:14:11,25,2,0,1,1,30076246
2,2,327,32,304,17,2025-03-11 01:24:53,2025-03-11 02:22:26,43,1,1,1,0,30415702
0,2,199,59,674,172,2025-03-28 08:08:21,2025-03-28 09:07:49,100,0,3,1,0,30731964
0,1,13056,47,465,23,2025-03-10 12:53:10,2025-03-10 13:51:20,96,1,2,0,0,30281700
2,1,63629,61,586,119,2025-02-08 09:39:34,2025-02-08 10:32:40,70,3,3,1,1,30344741
2,3,31,24,1032,18,2025-02-18 06:04:17,2025-02-18 06:38:31,43,4,1,0,1,30923718
0,3,31,57,397,266,2025-02-27 02:47:49,2025-02-27 03:45:05,51,1,2,0,0,30779576
0,0,14102,52,101,157,2025-02-16 01:35:32,2025-02-16 01:38:03,70,4,3,1,1,30311498
0,2,25,10,230,14,2025-04-09 22:56:11,2025-04-09 23:38:55,26,2,1,1,0,30376401
2,1,342,4,151,89,2025-02-27 10:23:04,2025-02-27 10:26:12,25,0,3,1,0,30330526
2,2,100,21,115,144,2025-04-09 00:12:46,2025-04-09 00:45:11,74,2,0,0,1,30161552
2,2,13987,7,706,93,2025-03-13 23:12:39,2025-03-13 23:56:10,97,1,2,0,1,30876717
2,0,236,64,867,115,2025-04-14 04:51:26,2025-04-14 05:38:57,16,1,2,0,0,30064454
0,0,13552,8,207,97,2025-01-29 14:20:15,2025-01-29 15:14:07,34,1,0,1,0,30130747
0,1,14303,19,907,216,2025-01-28 18:15:04,2025-01-28 18:26:49,14,2,2,1,0,30795478
1,1,56,20,106,93,2025-03-12 22:55:38,2025-03-12 23:18:56,51,3,1,0,1,30829487
1,3,125,28,358,114,2025-03-01 23:28:41,2025-03-01 23:41:52,86,1,2,1,1,30337590
0,2,2,40,604,170,2025-04-06 02:11:17,2025-04-06 03:01:37,68,2,0,1,0,30751172
0,0,50,30,226,224,2025-03-02 06:10:57,2025-03-02 07:03:47,84,3,2,0,1,30544266
2,1,186,47,1043,27,2025-04-02 05:48:53,2025-04-02 06:47:28,51,3,3,0,1,30897089
2,1,631,20,160,114,2025-04-02 17:24:06,2025-04-02 18:19:11,85,2,3,0,0,30610166
0,1,625,63,277,138,2025-02-02 06:13:25,2025-02-02 06:42:52,106,3,3,0,0,30994112
1,2,12587,15,1031,243,2025-03-02 06:21:31,2025-03-02 06:52:52,83,0,1,1,0,30444230
1,0,13539,40,451,129,2025-02-01 18:32:57,2025-02-01 19:31:20,97,4,2,0,0,30618740
1,3,193,37,895,48,2025-02-14 18:46:54,2025-02-14 19:17:24,6,0,2,1,0,30933101
1,2,100,37,1056,121,2025-04-03 16:36:28,2025-04-03 17:22:34,36,4,0,0,1,30808460
1,1,236,17,409,236,2025-04-05 08:51:42,2025-04-05 09:23:19,84,3,2,1,1,30002659
0,3,13142,66,813,151,2025-03-23 14:02:47,2025-03-23 14:19:13,108,4,0,1,0,30488039
0,0,32,60,665,31,2025-04-06 09:50:54,2025-04-06 10:26:25,86,4,1,0,0,30419800
0,3,13987,31,995,87,2025-03-01 17:15:45,2025-03-01 17:51:53,21,0,0,0,0,30004953
